alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.0001,0.01,0.01,0.0004,0.003,100.0,0.0,False,1,0.4087597727775574,0.0,0.05505895987153053,0.0,0.35370081663131714,0.0,1.6950016021728516,0.0,2.103761374950409,0.0,0.4087597727775574,0.0,0.05505895987153053,0.0,0.35370081663131714,0.0,1.6950016021728516,0.0,2.103761374950409,0.0,0.4087597727775574,0.0,0.05505895987153053,0.0,0.35370081663131714,0.0,1.6950016021728516,0.0,20.471650796942413,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0004,0.002,100.0,0.0,False,1,0.4103473126888275,0.0,0.05667397007346153,0.0,0.3536733388900757,0.0,1.6763931512832642,0.0,2.0867404639720917,0.0,0.4103473126888275,0.0,0.05667397007346153,0.0,0.3536733388900757,0.0,1.6763931512832642,0.0,2.0867404639720917,0.0,0.4103473126888275,0.0,0.05667397007346153,0.0,0.3536733388900757,0.0,1.6763931512832642,0.0,20.49189550243318,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0003,0.003,100.0,0.0,False,1,0.4132120609283447,0.0,0.08926523476839066,0.0,0.32394683361053467,0.0,1.7083361148834229,0.0,2.1215481758117676,0.0,0.4132120609283447,0.0,0.08926523476839066,0.0,0.32394683361053467,0.0,1.7083361148834229,0.0,2.1215481758117676,0.0,0.4132120609283447,0.0,0.08926523476839066,0.0,0.32394683361053467,0.0,1.7083361148834229,0.0,20.56776711344719,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0004,0.0015,100.0,0.0,False,1,0.41358304023742676,0.0,0.057939477264881134,0.0,0.3556435704231262,0.0,1.6602808237075806,0.0,2.0738638639450073,0.0,0.41358304023742676,0.0,0.057939477264881134,0.0,0.3556435704231262,0.0,1.6602808237075806,0.0,2.0738638639450073,0.0,0.41358304023742676,0.0,0.057939477264881134,0.0,0.3556435704231262,0.0,1.6602808237075806,0.0,20.72498452477157,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0003,0.002,100.0,0.0,False,1,0.417472779750824,0.0,0.0917755514383316,0.0,0.32569724321365356,0.0,1.6889880895614624,0.0,2.1064608693122864,0.0,0.417472779750824,0.0,0.0917755514383316,0.0,0.32569724321365356,0.0,1.6889880895614624,0.0,2.1064608693122864,0.0,0.417472779750824,0.0,0.0917755514383316,0.0,0.32569724321365356,0.0,1.6889880895614624,0.0,20.355206350795925,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0005,0.002,100.0,0.0,False,1,0.4179627597332001,0.0,0.03589803725481033,0.0,0.38206472992897034,0.0,1.669108271598816,0.0,2.087071031332016,0.0,0.4179627597332001,0.0,0.03589803725481033,0.0,0.38206472992897034,0.0,1.669108271598816,0.0,2.087071031332016,0.0,0.4179627597332001,0.0,0.03589803725481033,0.0,0.3714917302131653,0.0,1.669108271598816,0.0,20.048225893639028,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0005,0.0015,100.0,0.0,False,1,0.41922011971473694,0.0,0.036740534007549286,0.0,0.38247957825660706,0.0,1.6537314653396606,0.0,2.0729515850543976,0.0,0.41922011971473694,0.0,0.036740534007549286,0.0,0.38247957825660706,0.0,1.6537314653396606,0.0,2.0729515850543976,0.0,0.41922011971473694,0.0,0.036740534007549286,0.0,0.3714917302131653,0.0,1.6537314653396606,0.0,20.71886880788952,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0005,0.003,100.0,0.0,False,1,0.4197779893875122,0.0,0.03478025272488594,0.0,0.38499772548675537,0.0,1.686936855316162,0.0,2.1067148447036743,0.0,0.4197779893875122,0.0,0.03478025272488594,0.0,0.38499772548675537,0.0,1.686936855316162,0.0,2.1067148447036743,0.0,0.4197779893875122,0.0,0.03478025272488594,0.0,0.3714917302131653,0.0,1.686936855316162,0.0,20.589651433750987,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0003,0.0015,100.0,0.0,False,1,0.42255520820617676,0.0,0.09377466142177582,0.0,0.32878053188323975,0.0,1.672203779220581,0.0,2.094758987426758,0.0,0.42255520820617676,0.0,0.09377466142177582,0.0,0.32878053188323975,0.0,1.672203779220581,0.0,2.094758987426758,0.0,0.42255520820617676,0.0,0.09377466142177582,0.0,0.32878053188323975,0.0,1.672203779220581,0.0,21.25408867839724,0.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0002,0.003,100.0,0.0,False,1,0.4411765933036804,0.0,0.14653988182544708,0.0,0.29463669657707214,0.0,1.7040421962738037,0.0,2.145218789577484,0.0,0.4411765933036804,0.0,0.14653988182544708,0.0,0.29463669657707214,0.0,1.7040421962738037,0.0,2.145218789577484,0.0,0.4411765933036804,0.0,0.14653988182544708,0.0,0.29463669657707214,0.0,1.7040421962738037,0.0,20.805677447468042,0.0,PD,ok,
