alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.1,0.1,0.1,0.01,0.0001,100.0,0.0,False,1,0.7339571118354797,0.0,0.0006267880671657622,0.0,0.7333303093910217,0.0,1.683445692062378,0.0,2.4174028038978577,0.0,0.7339571118354797,0.0,0.0006267880671657622,0.0,0.7333303093910217,0.0,1.683445692062378,0.0,2.4174028038978577,0.0,0.7339571118354797,0.0,0.0006267880671657622,0.0,0.3714917302131653,0.0,1.683445692062378,0.0,11.03070298396051,0.0,PD,ok,
0.001,0.01,0.1,0.1,0.01,0.0001,100.0,0.0,False,1,0.7340070605278015,0.0,0.0006293515325523913,0.0,0.7333776950836182,0.0,1.6836187839508057,0.0,2.417625844478607,0.0,0.7340070605278015,0.0,0.0006293515325523913,0.0,0.7333776950836182,0.0,1.6836187839508057,0.0,2.417625844478607,0.0,0.7340070605278015,0.0,0.0006293515325523913,0.0,0.3714917302131653,0.0,1.6836187839508057,0.0,10.876543937250972,0.0,PD,ok,
0.001,0.001,0.1,0.1,0.01,0.0001,100.0,0.0,False,1,0.7340124249458313,0.0,0.0006296057254076004,0.0,0.7333828210830688,0.0,1.6836355924606323,0.0,2.4176480174064636,0.0,0.7340124249458313,0.0,0.0006296057254076004,0.0,0.7333828210830688,0.0,1.6836355924606323,0.0,2.4176480174064636,0.0,0.7340124249458313,0.0,0.0006296057254076004,0.0,0.3714917302131653,0.0,1.6836355924606323,0.0,10.796554517000914,0.0,PD,ok,
0.001,0.0001,0.1,0.1,0.01,0.0001,100.0,0.0,False,1,0.7340130805969238,0.0,0.0006296386709436774,0.0,0.7333834171295166,0.0,1.6836371421813965,0.0,2.4176502227783203,0.0,0.7340130805969238,0.0,0.0006296386709436774,0.0,0.7333834171295166,0.0,1.6836371421813965,0.0,2.4176502227783203,0.0,0.7340130805969238,0.0,0.0006296386709436774,0.0,0.3714917302131653,0.0,1.6836371421813965,0.0,10.576787034980953,0.0,PD,ok,
0.001,0.1,0.1,0.01,0.01,0.0001,100.0,0.0,False,1,0.7340006232261658,0.0,0.0006305872811935842,0.0,0.7333700656890869,0.0,1.683591604232788,0.0,2.417592227458954,0.0,0.7340006232261658,0.0,0.0006305872811935842,0.0,0.7333700656890869,0.0,1.683591604232788,0.0,2.417592227458954,0.0,0.7340006232261658,0.0,0.0006305872811935842,0.0,0.3714917302131653,0.0,1.683591604232788,0.0,10.90983019117266,0.0,PD,ok,
0.001,0.1,0.1,0.001,0.01,0.0001,100.0,0.0,False,1,0.7340051531791687,0.0,0.0006309435702860355,0.0,0.7333742380142212,0.0,1.683605670928955,0.0,2.417610824108124,0.0,0.7340051531791687,0.0,0.0006309435702860355,0.0,0.7333742380142212,0.0,1.683605670928955,0.0,2.417610824108124,0.0,0.7340051531791687,0.0,0.0006309435702860355,0.0,0.3714917302131653,0.0,1.683605670928955,0.0,10.888814333826303,0.0,PD,ok,
0.001,0.01,0.1,0.01,0.01,0.0001,100.0,0.0,False,1,0.7340571880340576,0.0,0.0006331073236651719,0.0,0.7334240674972534,0.0,1.6837571859359741,0.0,2.4178143739700317,0.0,0.7340571880340576,0.0,0.0006331073236651719,0.0,0.7334240674972534,0.0,1.6837571859359741,0.0,2.4178143739700317,0.0,0.7340571880340576,0.0,0.0006331073236651719,0.0,0.3714917302131653,0.0,1.6837571859359741,0.0,10.965634329244494,0.0,PD,ok,
0.001,0.001,0.1,0.01,0.01,0.0001,100.0,0.0,False,1,0.7340633273124695,0.0,0.0006333623314276338,0.0,0.7334299683570862,0.0,1.6837732791900635,0.0,2.417836606502533,0.0,0.7340633273124695,0.0,0.0006333623314276338,0.0,0.7334299683570862,0.0,1.6837732791900635,0.0,2.417836606502533,0.0,0.7340633273124695,0.0,0.0006333623314276338,0.0,0.3714917302131653,0.0,1.6837732791900635,0.0,10.73450428340584,0.0,PD,ok,
0.001,0.0001,0.1,0.01,0.01,0.0001,100.0,0.0,False,1,0.7340640425682068,0.0,0.0006334012723527849,0.0,0.7334306240081787,0.0,1.6837750673294067,0.0,2.4178391098976135,0.0,0.7340640425682068,0.0,0.0006334012723527849,0.0,0.7334306240081787,0.0,1.6837750673294067,0.0,2.4178391098976135,0.0,0.7340640425682068,0.0,0.0006334012723527849,0.0,0.3714917302131653,0.0,1.6837750673294067,0.0,10.627598499879241,0.0,PD,ok,
0.001,0.01,0.1,0.001,0.01,0.0001,100.0,0.0,False,1,0.7340629696846008,0.0,0.0006334882928058505,0.0,0.733429491519928,0.0,1.6837708950042725,0.0,2.4178338646888733,0.0,0.7340629696846008,0.0,0.0006334882928058505,0.0,0.733429491519928,0.0,1.6837708950042725,0.0,2.4178338646888733,0.0,0.7340629696846008,0.0,0.0006334882928058505,0.0,0.3714917302131653,0.0,1.6837708950042725,0.0,10.870746194384992,0.0,PD,ok,
