alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.1,0.001,0.1,0.01,0.001,100.0,0.0,False,1,0.8089458346366882,0.0,5.206270543567371e-06,0.0,0.8089406490325928,0.0,1.5221935510635376,0.0,2.331139385700226,0.0,0.8089458346366882,0.0,5.206270543567371e-06,0.0,0.8089406490325928,0.0,1.5221935510635376,0.0,2.331139385700226,0.0,0.8089458346366882,0.0,5.206270543567371e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,48.09199012303725,0.0,1.0,PD,ok,
0.001,0.1,0.01,0.1,0.01,0.001,100.0,0.0,False,1,0.8089247941970825,0.0,5.616616817860631e-06,0.0,0.8089191913604736,0.0,1.5221935510635376,0.0,2.33111834526062,0.0,0.8089247941970825,0.0,5.616616817860631e-06,0.0,0.8089191913604736,0.0,1.5221935510635376,0.0,2.33111834526062,0.0,0.8089247941970825,0.0,5.616616817860631e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,48.446566853672266,0.0,1.0,PD,ok,
0.001,0.1,0.1,0.1,0.01,0.001,100.0,0.0,False,1,0.786005437374115,0.0,7.036370334390085e-06,0.0,0.7859984040260315,0.0,1.535249948501587,0.0,2.321255385875702,0.0,0.786005437374115,0.0,7.036370334390085e-06,0.0,0.7859984040260315,0.0,1.535249948501587,0.0,2.321255385875702,0.0,0.786005437374115,0.0,7.036370334390085e-06,0.0,0.3714917302131653,0.0,1.535249948501587,0.0,44.70767342951149,0.0,1.0,PD,ok,
0.001,0.1,0.1,0.01,0.01,0.001,100.0,0.0,False,1,0.7839089035987854,0.0,7.342198387050303e-06,0.0,0.783901572227478,0.0,1.5370548963546753,0.0,2.3209637999534607,0.0,0.7839089035987854,0.0,7.342198387050303e-06,0.0,0.783901572227478,0.0,1.5370548963546753,0.0,2.3209637999534607,0.0,0.7839089035987854,0.0,7.342198387050303e-06,0.0,0.3714917302131653,0.0,1.5370548963546753,0.0,48.216455922462046,0.0,1.0,PD,ok,
0.001,0.1,0.1,0.001,0.01,0.001,100.0,0.0,False,1,0.7837090492248535,0.0,7.389497113763355e-06,0.0,0.7837016582489014,0.0,1.5372271537780762,0.0,2.3209362030029297,0.0,0.7837090492248535,0.0,7.389497113763355e-06,0.0,0.7837016582489014,0.0,1.5372271537780762,0.0,2.3209362030029297,0.0,0.7837090492248535,0.0,7.389497113763355e-06,0.0,0.3714917302131653,0.0,1.5372271537780762,0.0,48.36356231663376,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.001,0.1,0.0001,100.0,0.0,False,1,0.8648006916046143,0.0,7.630727850482799e-06,0.0,0.864793062210083,0.0,5.508399486541748,0.0,6.373200178146362,0.0,0.8648006916046143,0.0,7.630727850482799e-06,0.0,0.864793062210083,0.0,5.508399486541748,0.0,6.373200178146362,0.0,0.8648006916046143,0.0,7.630727850482799e-06,0.0,0.3714917302131653,0.0,5.508399486541748,0.0,121.23282346082851,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.1,0.0001,100.0,0.0,False,1,0.8648136258125305,0.0,7.783955879858695e-06,0.0,0.8648058176040649,0.0,5.509707927703857,0.0,6.374521553516388,0.0,0.8648136258125305,0.0,7.783955879858695e-06,0.0,0.8648058176040649,0.0,5.509707927703857,0.0,6.374521553516388,0.0,0.8648136258125305,0.0,7.783955879858695e-06,0.0,0.3714917302131653,0.0,5.509707927703857,0.0,115.47053928254172,0.0,1.0,PD,ok,
0.001,0.1,0.001,0.01,0.01,0.001,100.0,0.0,False,1,0.808784008026123,0.0,8.801321200735401e-06,0.0,0.8087751865386963,0.0,1.5221935510635376,0.0,2.3309775590896606,0.0,0.808784008026123,0.0,8.801321200735401e-06,0.0,0.8087751865386963,0.0,1.5221935510635376,0.0,2.3309775590896606,0.0,0.808784008026123,0.0,8.801321200735401e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,47.88708701077849,0.0,1.0,PD,ok,
0.001,0.01,0.1,0.1,0.01,0.001,100.0,0.0,False,1,0.7851746678352356,0.0,8.902334229787812e-06,0.0,0.7851657867431641,0.0,1.5364532470703125,0.0,2.321627914905548,0.0,0.7851746678352356,0.0,8.902334229787812e-06,0.0,0.7851657867431641,0.0,1.5364532470703125,0.0,2.321627914905548,0.0,0.7851746678352356,0.0,8.902334229787812e-06,0.0,0.3714917302131653,0.0,1.5364532470703125,0.0,48.13036845624447,0.0,1.0,PD,ok,
0.001,0.001,0.1,0.1,0.01,0.001,100.0,0.0,False,1,0.7850944995880127,0.0,9.097091606236063e-06,0.0,0.7850853800773621,0.0,1.536571979522705,0.0,2.3216664791107178,0.0,0.7850944995880127,0.0,9.097091606236063e-06,0.0,0.7850853800773621,0.0,1.536571979522705,0.0,2.3216664791107178,0.0,0.7850944995880127,0.0,9.097091606236063e-06,0.0,0.3714917302131653,0.0,1.536571979522705,0.0,110.34376932354644,0.0,1.0,PD,ok,
