alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.0001,0.01,0.01,0.0003,0.0015,100.0,0.0,False,1,0.42255520820617676,0.0,0.09377466142177582,0.0,0.32878053188323975,0.0,1.672203779220581,0.0,2.094758987426758,0.0,0.42255520820617676,0.0,0.09377466142177582,0.0,0.32878053188323975,0.0,1.672203779220581,0.0,2.094758987426758,0.0,0.42255520820617676,0.0,0.09377466142177582,0.0,0.32878053188323975,0.0,1.672203779220581,0.0,307.8637048630044,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0003,0.001,100.0,0.0,False,1,0.4328315258026123,0.0,0.09686381369829178,0.0,0.3359677195549011,0.0,1.6446781158447266,0.0,2.077509641647339,0.0,0.4328315258026123,0.0,0.09686381369829178,0.0,0.3359677195549011,0.0,1.6446781158447266,0.0,2.077509641647339,0.0,0.4328315258026123,0.0,0.09686381369829178,0.0,0.3359677195549011,0.0,1.6446781158447266,0.0,307.46280528139323,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0006,0.0015,100.0,0.0,False,1,0.4331551790237427,0.0,0.024060949683189392,0.0,0.4090942144393921,0.0,1.6508946418762207,0.0,2.0840498208999634,0.0,0.4331551790237427,0.0,0.024060949683189392,0.0,0.4090942144393921,0.0,1.6508946418762207,0.0,2.0840498208999634,0.0,0.4331551790237427,0.0,0.024060949683189392,0.0,0.3714917302131653,0.0,1.6508946418762207,0.0,303.0961337345652,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0006,0.001,100.0,0.0,False,1,0.4355451464653015,0.0,0.024902798235416412,0.0,0.4106423556804657,0.0,1.7691010236740112,0.0,2.2046461701393127,0.0,0.4355451464653015,0.0,0.024902798235416412,0.0,0.4106423556804657,0.0,1.7691010236740112,0.0,2.2046461701393127,0.0,0.4355451464653015,0.0,0.024902798235416412,0.0,0.3714917302131653,0.0,1.7691010236740112,0.0,302.6251585762948,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0006,0.0006,100.0,0.0,False,1,0.444710373878479,0.0,0.025698808953166008,0.0,0.41901156306266785,0.0,2.9116837978363037,0.0,3.3563941717147827,0.0,0.444710373878479,0.0,0.025698808953166008,0.0,0.41901156306266785,0.0,2.9116837978363037,0.0,3.3563941717147827,0.0,0.444710373878479,0.0,0.025698808953166008,0.0,0.3714917302131653,0.0,2.9116837978363037,0.0,302.6375249386765,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0003,0.0006,100.0,0.0,False,1,0.4514526426792145,0.0,0.1012377142906189,0.0,0.3502149283885956,0.0,2.7271065711975098,0.0,3.1785592138767242,0.0,0.4514526426792145,0.0,0.1012377142906189,0.0,0.3502149283885956,0.0,2.7271065711975098,0.0,3.1785592138767242,0.0,0.4514526426792145,0.0,0.1012377142906189,0.0,0.3502149283885956,0.0,2.7271065711975098,0.0,305.14361678948626,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0006,0.0003,100.0,0.0,False,1,0.47069108486175537,0.0,0.026092909276485443,0.0,0.44459816813468933,0.0,5.754695415496826,0.0,6.2253865003585815,0.0,0.47069108486175537,0.0,0.026092909276485443,0.0,0.44459816813468933,0.0,5.754695415496826,0.0,6.2253865003585815,0.0,0.47069108486175537,0.0,0.026092909276485443,0.0,0.3714917302131653,0.0,5.754695415496826,0.0,302.2466211761348,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0003,0.0003,100.0,0.0,False,1,0.48811015486717224,0.0,0.10832560807466507,0.0,0.37978455424308777,0.0,5.452756404876709,0.0,5.940866559743881,0.0,0.48811015486717224,0.0,0.10832560807466507,0.0,0.37978455424308777,0.0,5.452756404876709,0.0,5.940866559743881,0.0,0.48811015486717224,0.0,0.10832560807466507,0.0,0.3714917302131653,0.0,5.452756404876709,0.0,304.3811543532647,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.001,0.001,100.0,0.0,False,1,0.5053129196166992,0.0,0.006466875784099102,0.0,0.49884605407714844,0.0,1.6223071813583374,0.0,2.1276201009750366,0.0,0.5053129196166992,0.0,0.006466875784099102,0.0,0.49884605407714844,0.0,1.6223071813583374,0.0,2.1276201009750366,0.0,0.5053129196166992,0.0,0.006466875784099102,0.0,0.3714917302131653,0.0,1.6223071813583374,0.0,266.3521518493071,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.001,0.0006,100.0,0.0,False,1,0.5057916045188904,0.0,0.0070283133536577225,0.0,0.4987632632255554,0.0,2.4478495121002197,0.0,2.95364111661911,0.0,0.5057916045188904,0.0,0.0070283133536577225,0.0,0.4987632632255554,0.0,2.4478495121002197,0.0,2.95364111661911,0.0,0.5057916045188904,0.0,0.0070283133536577225,0.0,0.3714917302131653,0.0,2.4478495121002197,0.0,266.09800573345274,0.0,1.0,PD,ok,
